RE-1_R2_S01_CH02_A  637566980 0 0
RE-1_R2_S01_CH02_B  637599748 0 0
RE-1_R2_S01_CH02_C  637632516 0 0
RE+1_R2_S01_CH02_A  637566982 -0.204885 6.38606
RE+1_R2_S01_CH02_B  637599750 -0.271879 5.19817
RE+1_R2_S01_CH02_C  637632518 -0.663621 4.59152
RE-1_R3_S01_CH02_A  637566984 0 0
RE-1_R3_S01_CH02_B  637599752 0 0
RE-1_R3_S01_CH02_C  637632520 0 0
RE+1_R3_S01_CH02_A  637566986 -0.448773 3.82626
RE+1_R3_S01_CH02_B  637599754 0.275227 3.82797
RE+1_R3_S01_CH02_C  637632522 0.00587464 3.56952
W-2_RB1in_S01_Backward  637566989 0.117695 1.23711
W-2_RB1in_S01_Forward  637632525 0.0183751 1.36542
W-1_RB1in_S01_Backward  637566993 0.171038 1.18919
W-1_RB1in_S01_Forward  637632529 0.206322 1.48005
W+0_RB1in_S01_Backward  637566997 0.0380559 1.32863
W+0_RB1in_S01_Forward  637632533 0.0513769 1.43286
W+1_RB1in_S01_Backward  637567001 -0.0259098 1.1936
W+1_RB1in_S01_Forward  637632537 0.00778173 1.29064
W+2_RB1in_S01_Backward  637567005 -0.0696338 1.26476
W+2_RB1in_S01_Forward  637632541 -0.0704889 1.34573
RE-1_R2_S02_CH08_A  637567108 0 0
RE-1_R2_S02_CH08_B  637599876 0 0
RE-1_R2_S02_CH08_C  637632644 0 0
RE+1_R2_S02_CH08_A  637567110 -0.263639 5.96252
RE+1_R2_S02_CH08_B  637599878 -0.450855 5.28788
RE+1_R2_S02_CH08_C  637632646 0.341113 4.55742
RE-1_R3_S02_CH08_A  637567112 0 0
RE-1_R3_S02_CH08_B  637599880 0 0
RE-1_R3_S02_CH08_C  637632648 0 0
RE+1_R3_S02_CH08_A  637567114 0.046545 2.58628
RE+1_R3_S02_CH08_B  637599882 0.545818 2.66462
RE+1_R3_S02_CH08_C  637632650 0.738014 2.49419
W-2_RB1in_S02_Backward  637567117 -0.178701 1.23196
W-2_RB1in_S02_Forward  637632653 -0.126176 1.19031
W-1_RB1in_S02_Backward  637567121 -0.0578867 1.22038
W-1_RB1in_S02_Forward  637632657 -0.192978 1.35989
W+0_RB1in_S02_Backward  637567125 0.187711 1.24088
W+0_RB1in_S02_Forward  637632661 -0.146622 1.31217
W+1_RB1in_S02_Backward  637567129 -0.0275122 1.16941
W+1_RB1in_S02_Forward  637632665 0.0543371 1.33987
W+2_RB1in_S02_Backward  637567133 0.211305 1.23193
W+2_RB1in_S02_Forward  637632669 -0.244276 1.16034
RE-1_R2_S03_CH14_A  637567236 0 0
RE-1_R2_S03_CH14_B  637600004 0 0
RE-1_R2_S03_CH14_C  637632772 0 0
RE+1_R2_S03_CH14_A  637567238 0.102384 6.59789
RE+1_R2_S03_CH14_B  637600006 -0.613354 5.47893
RE+1_R2_S03_CH14_C  637632774 0.152378 4.78387
RE-1_R3_S03_CH14_A  637567240 0 0
RE-1_R3_S03_CH14_B  637600008 0 0
RE-1_R3_S03_CH14_C  637632776 0 0
RE+1_R3_S03_CH14_A  637567242 0 0
RE+1_R3_S03_CH14_B  637600010 0 0
RE+1_R3_S03_CH14_C  637632778 0 0
W-2_RB1in_S03_Backward  637567245 -0.106236 0.999033
W-2_RB1in_S03_Forward  637632781 -0.218533 1.34581
W-1_RB1in_S03_Backward  637567249 -0.0508564 1.02803
W-1_RB1in_S03_Forward  637632785 0.00264031 1.01544
W+0_RB1in_S03_Backward  637567253 0.206712 1.02889
W+0_RB1in_S03_Forward  637632789 0.253078 1.09063
W+1_RB1in_S03_Backward  637567257 -0.164341 0.980534
W+1_RB1in_S03_Forward  637632793 -0.1282 1.06184
W+2_RB1in_S03_Backward  637567261 -0.0315539 0.954161
W+2_RB1in_S03_Forward  637632797 0.0557785 1.25121
RE-1_R2_S04_CH20_A  637567364 0 0
RE-1_R2_S04_CH20_B  637600132 0 0
RE-1_R2_S04_CH20_C  637632900 0 0
RE+1_R2_S04_CH20_A  637567366 0.00930119 6.47771
RE+1_R2_S04_CH20_B  637600134 0.758733 5.07317
RE+1_R2_S04_CH20_C  637632902 -0.49858 4.6982
RE-1_R3_S04_CH20_A  637567368 0 0
RE-1_R3_S04_CH20_B  637600136 0 0
RE-1_R3_S04_CH20_C  637632904 0 0
RE+1_R3_S04_CH20_A  637567370 -0.215094 3.71126
RE+1_R3_S04_CH20_B  637600138 0.331684 4.08234
RE+1_R3_S04_CH20_C  637632906 -0.403776 3.41915
W-2_RB1in_S04_Backward  637567373 0.112429 0.896315
W-2_RB1in_S04_Forward  637632909 0.132212 1.01777
W-1_RB1in_S04_Backward  637567377 -0.0899824 0.999441
W-1_RB1in_S04_Forward  637632913 0.0602613 1.28421
W+0_RB1in_S04_Backward  637567381 0.00994791 0.939798
W+0_RB1in_S04_Forward  637632917 0.0104309 1.04593
