RE-1_R2_CH01_A  637566980 0 0
RE-1_R2_CH01_B  637599748 0 0
RE-1_R2_CH01_C  637632516 0 0
RE+1_R2_CH01_A  637566982 -0.241959 6.39678
RE+1_R2_CH01_B  637599750 -0.205939 5.01227
RE+1_R2_CH01_C  637632518 -0.850952 4.49555
RE-1_R3_CH01_A  637566984 0 0
RE-1_R3_CH01_B  637599752 0 0
RE-1_R3_CH01_C  637632520 0 0
RE+1_R3_CH01_A  637566986 -0.496351 3.81085
RE+1_R3_CH01_B  637599754 0.30127 3.78846
RE+1_R3_CH01_C  637632522 -0.0342906 3.5881
W-2_RB1in_S01_Backward  637566989 0.118497 1.23723
W-2_RB1in_S01_Forward  637632525 0.0196022 1.37055
W-1_RB1in_S01_Backward  637566993 0.171771 1.18792
W-1_RB1in_S01_Forward  637632529 0.207666 1.47721
W+0_RB1in_S01_Backward  637566997 0.0397354 1.33151
W+0_RB1in_S01_Forward  637632533 0.0498617 1.43574
W+1_RB1in_S01_Backward  637567001 -0.0257937 1.1932
W+1_RB1in_S01_Forward  637632537 0.00839284 1.2925
W+2_RB1in_S01_Backward  637567005 -0.0695978 1.26587
W+2_RB1in_S01_Forward  637632541 -0.0693604 1.34394
RE-1_R2_CH07_A  637567108 0 0
RE-1_R2_CH07_B  637599876 0 0
RE-1_R2_CH07_C  637632644 0 0
RE+1_R2_CH07_A  637567110 -0.31493 5.96668
RE+1_R2_CH07_B  637599878 -0.360374 5.30298
RE+1_R2_CH07_C  637632646 0.422186 4.56702
RE-1_R3_CH07_A  637567112 0 0
RE-1_R3_CH07_B  637599880 0 0
RE-1_R3_CH07_C  637632648 0 0
RE+1_R3_CH07_A  637567114 0.0272086 2.58365
RE+1_R3_CH07_B  637599882 0.542396 2.66922
RE+1_R3_CH07_C  637632650 0.731843 2.4962
W-2_RB1in_S02_Backward  637567117 -0.180044 1.23279
W-2_RB1in_S02_Forward  637632653 -0.125816 1.18907
W-1_RB1in_S02_Backward  637567121 -0.0578613 1.22183
W-1_RB1in_S02_Forward  637632657 -0.193466 1.35451
W+0_RB1in_S02_Backward  637567125 0.187505 1.24147
W+0_RB1in_S02_Forward  637632661 -0.146521 1.31318
W+1_RB1in_S02_Backward  637567129 -0.0264017 1.16853
W+1_RB1in_S02_Forward  637632665 0.0540747 1.3405
W+2_RB1in_S02_Backward  637567133 0.210967 1.2306
W+2_RB1in_S02_Forward  637632669 -0.244371 1.1612
RE-1_R2_CH13_A  637567236 0 0
RE-1_R2_CH13_B  637600004 0 0
RE-1_R2_CH13_C  637632772 0 0
RE+1_R2_CH13_A  637567238 0.129749 6.6043
RE+1_R2_CH13_B  637600006 -0.636252 5.51847
RE+1_R2_CH13_C  637632774 0.108433 4.75494
RE-1_R3_CH13_A  637567240 0 0
RE-1_R3_CH13_B  637600008 0 0
RE-1_R3_CH13_C  637632776 0 0
RE+1_R3_CH13_A  637567242 0 0
RE+1_R3_CH13_B  637600010 0 0
RE+1_R3_CH13_C  637632778 0 0
W-2_RB1in_S03_Backward  637567245 -0.106377 0.9977
W-2_RB1in_S03_Forward  637632781 -0.218378 1.34794
W-1_RB1in_S03_Backward  637567249 -0.0507836 1.02893
W-1_RB1in_S03_Forward  637632785 0.0025722 1.0153
W+0_RB1in_S03_Backward  637567253 0.206663 1.02993
W+0_RB1in_S03_Forward  637632789 0.253997 1.09165
W+1_RB1in_S03_Backward  637567257 -0.1639 0.979897
W+1_RB1in_S03_Forward  637632793 -0.128667 1.06122
W+2_RB1in_S03_Backward  637567261 -0.0320705 0.954451
W+2_RB1in_S03_Forward  637632797 0.0555725 1.25441
RE-1_R2_CH19_A  637567364 0 0
RE-1_R2_CH19_B  637600132 0 0
RE-1_R2_CH19_C  637632900 0 0
RE+1_R2_CH19_A  637567366 -0.208405 6.52764
RE+1_R2_CH19_B  637600134 0.881826 4.95074
RE+1_R2_CH19_C  637632902 -0.581054 4.64919
RE-1_R3_CH19_A  637567368 0 0
RE-1_R3_CH19_B  637600136 0 0
RE-1_R3_CH19_C  637632904 0 0
RE+1_R3_CH19_A  637567370 -0.215094 3.71126
RE+1_R3_CH19_B  637600138 0.379632 4.06334
RE+1_R3_CH19_C  637632906 -0.40904 3.39658
W-2_RB1in_S04_Backward  637567373 0.112269 0.896501
W-2_RB1in_S04_Forward  637632909 0.132601 1.01765
W-1_RB1in_S04_Backward  637567377 -0.0898862 1.00108
W-1_RB1in_S04_Forward  637632913 0.0604852 1.28431
W+0_RB1in_S04_Backward  637567381 0.0102296 0.939715
W+0_RB1in_S04_Forward  637632917 0.01031 1.04494
W+1_RB1in_S04_Backward  637567385 0.0315922 1.01807
W+1_RB1in_S04_Forward  637632921 -0.106497 1.17784
W+2_RB1in_S04_Backward  637567389 -0.255241 0.912137
W+2_RB1in_S04_Forward  637632925 -0.0238361 0.940887
RE-1_R2_CH25_A  637567492 0 0
RE-1_R2_CH25_B  637600260 0 0
RE-1_R2_CH25_C  637633028 0 0
RE+1_R2_CH25_A  637567494 -0.372801 6.08324
RE+1_R2_CH25_B  637600262 -0.681779 5.49498
RE+1_R2_CH25_C  637633030 0.209311 4.58265
RE-1_R3_CH25_A  637567496 0 0
RE-1_R3_CH25_B  637600264 0 0
RE-1_R3_CH25_C  637633032 0 0
RE+1_R3_CH25_A  637567498 0 0
RE+1_R3_CH25_B  637600266 0 0
RE+1_R3_CH25_C  637633034 0 0
W-2_RB1in_S05_Backward  637567501 0.130111 1.01984
W-2_RB1in_S05_Forward  637633037 0.179015 0.969263
W-1_RB1in_S05_Backward  637567505 0.175845 0.918909
W-1_RB1in_S05_Forward  637633041 0.158336 1.00532
W+0_RB1in_S05_Backward  637567509 0.1486 1.05574
W+0_RB1in_S05_Forward  637633045 0.0810671 1.07539
W+1_RB1in_S05_Backward  637567513 -0.222034 0.961949
W+1_RB1in_S05_Forward  637633049 -0.257181 1.08977
W+2_RB1in_S05_Backward  637567517 -0.0334945 0.963754
W+2_RB1in_S05_Forward  637633053 -0.214702 1.08507
RE-1_R2_CH31_A  637567620 0 0
RE-1_R2_CH31_B  637600388 0 0
RE-1_R2_CH31_C  637633156 0 0
RE+1_R2_CH31_A  637567622 1.57927 6.05248
RE+1_R2_CH31_B  637600390 0.321372 5.88702
RE+1_R2_CH31_C  637633158 -0.688541 4.50571
RE-1_R3_CH31_A  637567624 0 0
RE-1_R3_CH31_B  637600392 0 0
RE-1_R3_CH31_C  637633160 0 0
RE+1_R3_CH31_A  637567626 0.110772 3.3094
RE+1_R3_CH31_B  637600394 -0.951082 3.55096
RE+1_R3_CH31_C  637633162 -1.04022 3.22298
W-2_RB1in_S06_Backward  637567629 0.104491 1.14903
W-2_RB1in_S06_Forward  637633165 0.106259 1.21628
W-1_RB1in_S06_Backward  637567633 -0.0449994 1.21732
W-1_RB1in_S06_Forward  637633169 -0.110881 1.33516
W+0_RB1in_S06_Backward  637567637 -0.0199723 1.18456
W+0_RB1in_S06_Forward  637633173 0.0475673 1.60318
W+1_RB1in_S06_Backward  637567641 -0.0853256 1.17814
W+1_RB1in_S06_Forward  637633177 0.0955209 1.53977
W+2_RB1in_S06_Backward  637567645 -0.000636776 1.09338
W+2_RB1in_S06_Forward  637633181 -0.117639 1.165
W-2_RB1in_S07_Backward  637567757 -0.30484 1.21185
W-2_RB1in_S07_Forward  637633293 -0.380062 1.34793
W-1_RB1in_S07_Backward  637567761 -0.0420349 1.20876
W-1_RB1in_S07_Forward  637633297 -0.383396 1.32514
W+0_RB1in_S07_Backward  637567765 0.153102 1.35888
W+0_RB1in_S07_Forward  637633301 0.132984 1.25692
W+1_RB1in_S07_Backward  637567769 0 0
W+1_RB1in_S07_Forward  637633305 0 0
W+2_RB1in_S07_Backward  637567773 0.0733349 1.19929
W+2_RB1in_S07_Forward  637633309 0.148163 1.40454
W-2_RB1in_S08_Backward  637567885 -0.287477 1.10607
W-2_RB1in_S08_Forward  637633421 -0.275195 1.3238
W-1_RB1in_S08_Backward  637567889 -0.255659 1.11614
W-1_RB1in_S08_Forward  637633425 -0.289098 1.18049
W+0_RB1in_S08_Backward  637567893 -0.128405 1.12347
W+0_RB1in_S08_Forward  637633429 -0.330659 1.13408
W+1_RB1in_S08_Backward  637567897 0.346691 1.10066
W+1_RB1in_S08_Forward  637633433 0.101912 1.22625
W+2_RB1in_S08_Backward  637567901 0.260734 1.12139
W+2_RB1in_S08_Forward  637633437 0.202057 1.53784
W-2_RB1in_S09_Backward  637568013 0.0647585 1.06215
W-2_RB1in_S09_Forward  637633549 0.00942664 1.05981
W-1_RB1in_S09_Backward  637568017 0.0131578 1.01678
W-1_RB1in_S09_Forward  637633553 0.125959 1.09223
W+0_RB1in_S09_Backward  637568021 -0.352977 0.999554
W+0_RB1in_S09_Forward  637633557 -0.0337545 1.33178
W+1_RB1in_S09_Backward  637568025 0.0957064 0.985885
W+1_RB1in_S09_Forward  637633561 0.0722839 1.12752
W+2_RB1in_S09_Backward  637568029 0.29418 1.10335
W+2_RB1in_S09_Forward  637633565 0.197328 1.26773
W-2_RB1in_S10_Backward  637568141 0.1203 0.947437
W-2_RB1in_S10_Forward  637633677 0.196502 1.56225
W-1_RB1in_S10_Backward  637568145 -0.00624854 0.986254
W-1_RB1in_S10_Forward  637633681 -0.0777609 1.16713
W+0_RB1in_S10_Backward  637568149 -0.0257373 0.933286
W+0_RB1in_S10_Forward  637633685 0.0925739 0.9976
W+1_RB1in_S10_Backward  637568153 0.446272 0.882419
W+1_RB1in_S10_Forward  637633689 0.0346226 0.900979
W+2_RB1in_S10_Backward  637568157 -0.0358761 0.994142
W+2_RB1in_S10_Forward  637633693 0.0139337 1.2927
W-2_RB1in_S11_Backward  637568269 0.00443424 1.0354
W-2_RB1in_S11_Forward  637633805 -0.0181315 0.949782
W-1_RB1in_S11_Backward  637568273 0.179517 0.931465
W-1_RB1in_S11_Forward  637633809 0.0421694 1.09407
W+0_RB1in_S11_Backward  637568277 0.196759 1.02106
W+0_RB1in_S11_Forward  637633813 0.0530476 1.28027
W+1_RB1in_S11_Backward  637568281 -0.2651 1.00568
W+1_RB1in_S11_Forward  637633817 -0.252313 1.27092
W+2_RB1in_S11_Backward  637568285 0.0784247 1.00821
W+2_RB1in_S11_Forward  637633821 0.102211 1.20663
W-2_RB1in_S12_Backward  637568397 0.36025 1.12043
W-2_RB1in_S12_Forward  637633933 0.0497264 1.31914
W-1_RB1in_S12_Backward  637568401 0.415216 1.07555
W-1_RB1in_S12_Forward  637633937 0.487254 1.24901
W+0_RB1in_S12_Backward  637568405 0.0762986 1.17686
W+0_RB1in_S12_Forward  637633941 0 0
W+1_RB1in_S12_Backward  637568409 -0.0283137 1.09321
W+1_RB1in_S12_Forward  637633945 -0.0042175 1.22184
W+2_RB1in_S12_Backward  637568413 0 0
W+2_RB1in_S12_Forward  637633949 -0.406004 1.10918
RE-1_R2_CH02_A  637571076 0 0
RE-1_R2_CH02_B  637603844 0 0
RE-1_R2_CH02_C  637636612 0 0
RE+1_R2_CH02_A  637571078 -4.30076 1.89066
RE+1_R2_CH02_B  637603846 -3.83566 1.40439
RE+1_R2_CH02_C  637636614 -2.86016 1.65578
RE-1_R3_CH02_A  637571080 0 0
RE-1_R3_CH02_B  637603848 0 0
RE-1_R3_CH02_C  637636616 0 0
RE+1_R3_CH02_A  637571082 0.10283 3.73931
RE+1_R3_CH02_B  637603850 0.379034 3.74426
RE+1_R3_CH02_C  637636618 0.478018 3.70496
RE-1_R2_CH08_A  637571204 0 0
RE-1_R2_CH08_B  637603972 0 0
RE-1_R2_CH08_C  637636740 0 0
RE+1_R2_CH08_A  637571206 -4.4466 1.31761
RE+1_R2_CH08_B  637603974 -3.8144 1.28596
RE+1_R2_CH08_C  637636742 -3.27157 1.18891
RE-1_R3_CH08_A  637571208 0 0
RE-1_R3_CH08_B  637603976 0 0
RE-1_R3_CH08_C  637636744 0 0
RE+1_R3_CH08_A  637571210 0.139082 2.65228
RE+1_R3_CH08_B  637603978 0.28031 3.07381
RE+1_R3_CH08_C  637636746 0.0304795 3.00106
RE-1_R2_CH14_A  637571332 0 0
RE-1_R2_CH14_B  637604100 0 0
RE-1_R2_CH14_C  637636868 0 0
RE+1_R2_CH14_A  637571334 -3.82624 2.46818
RE+1_R2_CH14_B  637604102 -3.5211 2.15511
RE+1_R2_CH14_C  637636870 -2.83895 1.65935
RE-1_R3_CH14_A  637571336 0 0
RE-1_R3_CH14_B  637604104 0 0
RE-1_R3_CH14_C  637636872 0 0
RE+1_R3_CH14_A  637571338 4.011 0.863289
RE+1_R3_CH14_B  637604106 3.98655 0
RE+1_R3_CH14_C  637636874 5.66723 2.72281
RE-1_R2_CH20_A  637571460 0 0
RE-1_R2_CH20_B  637604228 0 0
RE-1_R2_CH20_C  637636996 0 0
RE+1_R2_CH20_A  637571462 -4.16458 1.6097
RE+1_R2_CH20_B  637604230 -3.38669 2.06672
RE+1_R2_CH20_C  637636998 -2.98331 1.81925
RE-1_R3_CH20_A  637571464 0 0
RE-1_R3_CH20_B  637604232 0 0
RE-1_R3_CH20_C  637637000 0 0
RE+1_R3_CH20_A  637571466 0.146312 3.67752
RE+1_R3_CH20_B  637604234 0.730509 3.80086
RE+1_R3_CH20_C  637637002 0.766482 3.55852
RE-1_R2_CH26_A  637571588 0 0
RE-1_R2_CH26_B  637604356 0 0
RE-1_R2_CH26_C  637637124 0 0
RE+1_R2_CH26_A  637571590 -4.53988 1.39296
RE+1_R2_CH26_B  637604358 -3.88611 1.20072
RE+1_R2_CH26_C  637637126 -3.16088 1.38487
RE-1_R3_CH26_A  637571592 0 0
RE-1_R3_CH26_B  637604360 0 0
RE-1_R3_CH26_C  637637128 0 0
RE+1_R3_CH26_A  637571594 0.195456 3.28746
RE+1_R3_CH26_B  637604362 0.000760819 3.53637
RE+1_R3_CH26_C  637637130 0.377888 3.20296
RE-1_R2_CH32_A  637571716 0 0
RE-1_R2_CH32_B  637604484 0 0
RE-1_R2_CH32_C  637637252 0 0
RE+1_R2_CH32_A  637571718 -4.74344 1.93544
RE+1_R2_CH32_B  637604486 -3.90194 2.45338
RE+1_R2_CH32_C  637637254 -3.35981 1.98123
