RE-1_R2_CH01_A  637566980 0.00365368 1.01748
RE-1_R2_CH01_B  637599748 0.0183819 0.970681
RE-1_R2_CH01_C  637632516 0.00988199 1.02675
RE+1_R2_CH01_A  637566982 0.128943 1.15209
RE+1_R2_CH01_B  637599750 0.124627 1.0266
RE+1_R2_CH01_C  637632518 0.569293 5.19773
RE-1_R3_CH01_A  637566984 -0.0527129 1.47111
RE-1_R3_CH01_B  637599752 -0.0973079 1.56492
RE-1_R3_CH01_C  637632520 -0.131398 1.31036
RE+1_R3_CH01_A  637566986 0.310417 1.44133
RE+1_R3_CH01_B  637599754 0.238609 1.51725
RE+1_R3_CH01_C  637632522 0.14369 1.2583
W-2_RB1in_S01_Backward  637566989 0.0347128 1.15433
W-2_RB1in_S01_Forward  637632525 0.10915 1.38935
W-1_RB1in_S01_Backward  637566993 -0.0963199 0.958064
W-1_RB1in_S01_Forward  637632529 -0.0406144 1.32352
W+0_RB1in_S01_Backward  637566997 -0.231528 0.983758
W+0_RB1in_S01_Forward  637632533 -0.214735 1.2269
W+1_RB1in_S01_Backward  637567001 0.202834 0.92935
W+1_RB1in_S01_Forward  637632537 0.278253 1.11397
W+2_RB1in_S01_Backward  637567005 -0.000279612 1.09786
W+2_RB1in_S01_Forward  637632541 -0.0695631 1.38461
RE-1_R2_CH07_A  637567108 0.261301 1.01023
RE-1_R2_CH07_B  637599876 0.372103 1.00478
RE-1_R2_CH07_C  637632644 0.448207 1.00885
RE+1_R2_CH07_A  637567110 0.0118873 1.04028
RE+1_R2_CH07_B  637599878 -0.000451266 1.00603
RE+1_R2_CH07_C  637632646 -0.0644117 1.01207
RE-1_R3_CH07_A  637567112 0.23824 1.62322
RE-1_R3_CH07_B  637599880 0.153955 1.60398
RE-1_R3_CH07_C  637632648 0.064649 1.38373
RE+1_R3_CH07_A  637567114 -0.0902647 1.49478
RE+1_R3_CH07_B  637599882 0.0459653 1.47844
RE+1_R3_CH07_C  637632650 0.0419323 1.19544
W-2_RB1in_S02_Backward  637567117 -0.0249641 1.09208
W-2_RB1in_S02_Forward  637632653 0.122645 1.25515
W-1_RB1in_S02_Backward  637567121 -0.220644 1.32624
W-1_RB1in_S02_Forward  637632657 -0.181825 1.23652
W+0_RB1in_S02_Backward  637567125 0.197287 0.954336
W+0_RB1in_S02_Forward  637632661 -0.0461314 1.18985
W+1_RB1in_S02_Backward  637567129 0.0591267 1.0719
W+1_RB1in_S02_Forward  637632665 0.100155 1.49742
W+2_RB1in_S02_Backward  637567133 0.173242 1.38723
W+2_RB1in_S02_Forward  637632669 -0.273124 1.69861
RE-1_R2_CH13_A  637567236 0.168744 1.04213
RE-1_R2_CH13_B  637600004 0.131119 1.02389
RE-1_R2_CH13_C  637632772 0.0499465 1.03587
RE+1_R2_CH13_A  637567238 -0.0199132 1.08449
RE+1_R2_CH13_B  637600006 0.00294168 1.063
RE+1_R2_CH13_C  637632774 -0.00157816 1.03819
RE-1_R3_CH13_A  637567240 -0.131367 1.53209
RE-1_R3_CH13_B  637600008 -0.103811 1.52455
RE-1_R3_CH13_C  637632776 -0.108625 1.36357
RE+1_R3_CH13_A  637567242 0.0680206 1.5635
RE+1_R3_CH13_B  637600010 -0.0184372 1.5599
RE+1_R3_CH13_C  637632778 -0.050209 1.28209
W-2_RB1in_S03_Backward  637567245 -0.0344754 1.20353
W-2_RB1in_S03_Forward  637632781 -0.0974229 1.86862
W-1_RB1in_S03_Backward  637567249 -0.0957033 1.43772
W-1_RB1in_S03_Forward  637632785 -0.0046236 1.08205
W+0_RB1in_S03_Backward  637567253 0.23358 1.01338
W+0_RB1in_S03_Forward  637632789 0.248437 1.15849
W+1_RB1in_S03_Backward  637567257 0.0548594 0.985782
W+1_RB1in_S03_Forward  637632793 -0.105106 1.14828
W+2_RB1in_S03_Backward  637567261 0.0499504 1.21272
W+2_RB1in_S03_Forward  637632797 0.213989 2.26283
RE-1_R2_CH19_A  637567364 -0.0095112 1.0859
RE-1_R2_CH19_B  637600132 0.0145314 1.03337
RE-1_R2_CH19_C  637632900 0.0362647 1.0102
RE+1_R2_CH19_A  637567366 -0.212576 1.07726
RE+1_R2_CH19_B  637600134 -0.169358 1.05667
RE+1_R2_CH19_C  637632902 -0.236343 1.0174
RE-1_R3_CH19_A  637567368 0.26548 1.46601
RE-1_R3_CH19_B  637600136 0.0906898 1.52355
RE-1_R3_CH19_C  637632904 -0.0678542 1.30729
RE+1_R3_CH19_A  637567370 0.269096 1.47073
RE+1_R3_CH19_B  637600138 0.236267 1.59735
RE+1_R3_CH19_C  637632906 0.162018 1.26631
W-2_RB1in_S04_Backward  637567373 0.0020769 1.06386
W-2_RB1in_S04_Forward  637632909 -0.0356042 1.35914
W-1_RB1in_S04_Backward  637567377 -0.141376 1.09145
W-1_RB1in_S04_Forward  637632913 0.0380151 2.00934
W+0_RB1in_S04_Backward  637567381 -0.0977914 0.976106
W+0_RB1in_S04_Forward  637632917 -0.0686161 1.07192
W+1_RB1in_S04_Backward  637567385 0.111146 1.24627
W+1_RB1in_S04_Forward  637632921 0.0243063 1.38179
W+2_RB1in_S04_Backward  637567389 -0.163433 1.15329
W+2_RB1in_S04_Forward  637632925 -0.00140567 1.47467
RE-1_R2_CH25_A  637567492 0.123603 1.03872
RE-1_R2_CH25_B  637600260 0.0948199 1.00462
RE-1_R2_CH25_C  637633028 0.0164807 1.03405
RE+1_R2_CH25_A  637567494 -0.251724 7.09792
RE+1_R2_CH25_B  637600262 0.241976 1.04899
RE+1_R2_CH25_C  637633030 0.257302 1.06741
RE-1_R3_CH25_A  637567496 0.170625 1.53269
RE-1_R3_CH25_B  637600264 0.099267 1.53384
RE-1_R3_CH25_C  637633032 -0.0191203 1.25902
